DATE,TIME,LATITUDE,LONGITUDE,MAGNITUDE,REMARKS,EPICENTER
A.D:2015-04-27,UTC:3:17 PM,27.8,85.12,4,NSC,Nuwakot
A.D:2015-04-27,UTC:10:05 AM,27.93,85.86,4,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:2:49 AM,27.98,84.99,4,NSC,Gorkha
A.D:2015-04-26,UTC:5:01 AM,27.99,85.02,5.5,NSC,Nuwakot
A.D:2015-04-26,UTC:5:25 AM,27.69,85.25,4,NSC,Kathmandu
A.D:2015-04-26,UTC:5:26 AM,27.67,86.07,4.5,NSC,Dolakha
A.D:2015-04-26,UTC:5:32 AM,28.05,85.34,4,NSC,Rasuwa
A.D:2015-04-26,UTC:6:00 AM,27.67,85.28,4,NSC,Kathmandu
A.D:2015-04-26,UTC:6:16 AM,27.84,85.12,4,NSC,Nuwakot
A.D:2015-04-26,UTC:8:43 AM,28.32,84.73,4.5,NSC,Gorkha
A.D:2015-04-26,UTC:2:17 AM,27.6,85.96,4.8,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:2:52 AM,27.82,85.8,4.8,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:12:14 AM,27.94,85.55,4.1,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:12:43 AM,27.71,85.43,4.6,NSC,Kathmandu
A.D:2015-04-26,UTC:1:29 AM,27.93,85.56,4.1,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:1:49 AM,28.05,85.35,4,NSC,Rasuwa
A.D:2015-04-26,UTC:1:52 AM,28.14,84.71,4.2,NSC,Gorkha
A.D:2015-04-26,UTC:1:56 AM,27.93,85.56,4.4,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:2:08 AM,28.25,85.83,4,NSC,Rasuwa
A.D:2015-04-26,UTC:2:14 AM,28.24,84.82,4.3,NSC,Gorkha
A.D:2015-04-26,UTC:8:55 AM,27.8,85.16,5.1,NSC,Nuwakot
A.D:2015-04-26,UTC:9:06 AM,27.64,85.63,5,NSC,Kavre
A.D:2015-04-26,UTC:8:17 PM,27.79,85.15,4,NSC,Nuwakot
A.D:2015-04-26,UTC:8:29 PM,27.72,85.97,4.5,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:8:42 PM,28.31,84.97,4.5,NSC,Gorkha
A.D:2015-04-26,UTC:9:47 PM,27.65,85.97,4,NSC,Dolakha
A.D:2015-04-26,UTC:10:08 PM,27.67,85.3,4,NSC,Kathmandu
A.D:2015-04-26,UTC:10:10 PM,27.95,85.87,5.3,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:10:42 PM,27.83,86.06,4,NSC,Dolakha
A.D:2015-04-26,UTC:11:51 PM,27.91,85.55,4.2,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:7:08 PM,27.68,85.95,4,NSC,Dolakha
A.D:2015-04-26,UTC:6:56 PM,27.89,85.6,5,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:10:35 AM,28.04,85.5,4.5,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:10:43 AM,28.26,85.02,4.8,NSC,Gorkha
A.D:2015-04-26,UTC:12:54 PM,27.84,86.05,6.9,NSC,Dolakha
A.D:2015-04-26,UTC:1:12 PM,27.75,85.94,5.3,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:1:22 PM,27.94,86.05,5,NSC,Tibet
A.D:2015-04-26,UTC:2:25 PM,27.79,86,4.8,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:2:31 PM,27.97,85.81,4.5,NSC,Sindhupalchowk
A.D:2015-04-26,UTC:3:27 PM,27.77,85.91,4.5,NSC,Sindhupalchowk
A.D:2015-04-25,UTC:09:30,28,85.6,5.5,NSC/RSC,Sindhupalchowk
A.D:2015-04-25,UTC:3:28 PM,28.29,85.16,4.6,NSC/RSC,Rasuwa
A.D:2015-04-25,UTC:4:08 PM,27.87,85.8,4.1,NSC/RSC,Sindhupalchowk
A.D:2015-04-25,UTC:10:40,27.86,85.85,4,NSC/RSC,Sindhupalchowk
A.D:2015-04-25,UTC:11:05,27.91,85.5,4.6,NSC/RSC,Sindhupalchowk
A.D:2015-04-25,UTC:11:41,28.14,85.28,4.1,NSC/RSC,Rasuwa
A.D:2015-04-25,UTC:12:17,28,85.4,4.9,NSC/RSC,Nuwakot
A.D:2015-04-25,UTC:12:44,28.16,84.71,5.5,NSC/RSC,Gorkha
A.D:2015-04-25,UTC:09:03,27.91,85.33,5.3,NSC/RSC,Nuwakot
A.D:2015-04-25,UTC:08:55,27.65,85.63,5.7,NSC/RSC,Kabre
A.D:2015-04-25,UTC:08:29,28.18,84.95,5.2,NSC/RSC,Gorkha
A.D:2015-04-25,UTC:09:43,28.29,85.16,4.6,NSC,Rasuwa
A.D:2015-04-25,UTC:10:23,27.87,85.8,4.1,NSC,Sindhupalchowk
A.D:2015-04-25,UTC:06:11,28.24,84.75,7.6,NSC/RSC,Gorkha
A.D:2015-04-25,UTC:06:45,28.28,84.72,6.6,NSC/RSC,Gorkha
A.D:2015-04-25,UTC:06:56,28.13,85.65,5.7,NSC/RSC,Rasuwa
A.D:2015-04-25,UTC:07:08,28.2,85.75,5.3,NSC/RSC,Rasuwa
A.D:2015-04-25,UTC:08:17,27.78,85.84,5.2,NSC/RSC,Sindhupalchowk
A.D:2015-04-25,UTC:08:20,27.9,84.86,5.1,NSC/RSC,Dhading
A.D:2015-04-25,UTC:13:30,28.1,85.2,4.7,NSC/RSC,Rasuwa
A.D:2015-04-25,UTC:13:53,27.79,85.16,4.1,NSC/RSC,Nuwakot
A.D:2015-04-25,UTC:11:40 PM,28.1,85.27,4,NSC,Rasuwa
A.D:2015-04-25,UTC:11:46 PM,27.78,85.98,4.1,NSC,Sindhupalchowk
A.D:2015-04-25,UTC:06:38,28.41,85.8,5.5,NSC,Tibet
A.D:2015-04-25,UTC:07:47,27.99,85.71,5.1,NSC,Tibet
A.D:2015-04-25,UTC:11:27 PM,28.34,85.91,5.6,NSC,Tibet
A.D:2015-04-25,UTC:12:39,27.82,86.05,4.5,NSC,Dolakha
A.D:2015-04-25,UTC:7:21 PM,27.69,86.02,4.9,NSC,Dolakha
A.D:2015-04-25,UTC:8:21 PM,27.6,86.09,4.5,NSC,Dolakha
A.D:2015-04-25,UTC:11:25 PM,27.78,85.17,4,NSC,Nuwakot
A.D:2015-04-25,UTC:11:24 PM,27.9,85.53,4,NSC,Sindhupalchowk
A.D:2015-04-25,UTC:11:19 PM,27.77,85.83,4.1,NSC,Sindhupalchowk
A.D:2015-04-25,UTC:10:31 PM,27.8,85.29,4,NSC,Nuwakot
A.D:2015-04-25,UTC:10:12 PM,27.92,85.64,5.3,NSC,Sindhupalchowk
A.D:2015-04-25,UTC:9:02 PM,27.95,85.56,4.2,NSC,Sindhupalchowk
A.D:2015-04-25,UTC:8:36 PM,28.14,85.16,4.4,NSC,Rasuwa
A.D:2015-04-25,UTC:8:25 PM,27.73,85.9,5,NSC,Sindhupalchowk
A.D:2015-04-25,UTC:8:08 PM,28.05,85.25,4.1,NSC,Rasuwa
A.D:2015-04-25,UTC:7:55 PM,27.73,85.9,4.7,NSC,Sindhupalchowk
A.D:2015-04-25,UTC:7:47 PM,27.68,85.32,4.1,NSC,Kathmandu
A.D:2015-04-23,UTC:1:57 AM,28.4,83.99,4.1,NSC,Kaski
A.D:2015-04-22,UTC:7:14 AM,28.8,81.92,4.5,NSC,Jajarkot
A.D:2015-04-21,UTC:7:52 PM,28.85,82.18,5.1,NSC,Jajarkot
A.D:2015-02-14,UTC:10:51 PM,27.42,87.01,4.5,NSC,Bhojpur
A.D:2015-01-31,UTC:7:44 PM,28.29,83.73,5.5,NSC,Kaski
A.D:2015-01-22,UTC:9:27 AM,29.36,81.03,4.4,RSC,Doti
A.D:2015-01-06,UTC:1:26 AM,29.07,81.51,4.5,NSC,Dailekh
